timestamp,price,quantity,side
1746382947048,95435.29000000,0.01047000,sell
1746382960619,95435.43000000,0.01687000,sell
1746382960847,95435.43000000,0.01688000,sell
1746382961074,95435.43000000,0.01688000,sell
1746382961306,95435.43000000,0.01688000,sell
1746382961532,95435.43000000,0.01691000,sell
1746382961761,95435.47000000,0.01691000,sell
1746382961978,95435.47000000,0.01692000,sell
1746382962230,95435.47000000,0.01693000,sell
1746382962434,95435.47000000,0.01693000,sell
1746382962660,95435.47000000,0.01172000,sell
1746382972091,95435.57000000,0.01695000,sell
1746382972324,95435.57000000,0.01696000,sell
1746382972556,95435.57000000,0.00049000,sell
1746382982551,95435.67000000,0.00895000,sell
1746383292907,95417.87000000,0.00005000,sell
1746383402246,95482.04000000,0.00290000,buy
1746383402246,95482.05000000,0.01038000,buy
1746383570483,95506.17000000,0.00005000,buy
1746383760750,95439.43000000,0.00696000,buy
1746383894453,95408.53000000,0.00002000,sell
1746384360817,95422.76000000,0.01424000,buy
1746384378688,95422.72000000,0.00003000,buy
1746384390095,95391.77000000,0.00150000,sell
1746384390095,95391.76000000,0.01265000,sell
1746384411979,95437.29000000,0.01406000,buy
1746384943088,95400.00000000,0.01763000,buy
1746384944157,95400.00000000,0.01845000,buy
1746384944192,95400.00000000,0.00494000,buy
1746384959932,95422.13000000,0.00003000,sell
1746385325510,95397.94000000,0.00043000,buy
1746385386753,95378.49000000,0.00072000,buy
1746385455337,95332.41000000,0.00002000,sell
1746385668787,95373.17000000,0.00085000,sell
1746385820486,95469.69000000,0.00210000,buy
1746385861434,95409.65000000,0.00002000,sell
1746385893888,95461.99000000,0.00109000,buy
1746385917087,95476.57000000,0.00120000,buy
1746385923231,95478.33000000,0.00326000,buy
1746386479921,95394.06000000,0.00312000,sell
1746386790121,95490.43000000,0.00002000,buy
1746387170087,95482.26000000,0.00390000,sell
1746387189650,95513.29000000,0.00007000,buy
1746387239346,95549.99000000,0.01038000,buy
1746387242412,95549.99000000,0.01160000,buy
1746387244425,95549.99000000,0.00359000,buy
1746387244425,95550.00000000,0.00491000,buy
1746387258677,95546.60000000,0.00560000,sell
1746387321668,95551.15000000,0.00456000,sell
1746387337977,95554.64000000,0.00146000,sell
1746387414281,95628.93000000,0.00005000,buy
1746387620182,95628.91000000,0.00052000,buy
2025-05-04 15:57:45,95726.10000000,0.00002000,buy
2025-05-04 16:00:23,95761.85000000,0.01067000,buy
2025-05-04 16:00:42,95761.62000000,0.00104000,buy
2025-05-04 16:03:08,95766.69000000,0.00054000,buy
2025-05-04 16:04:38,95766.69000000,0.00580000,buy
2025-05-04 16:04:53,95767.82000000,0.00522000,buy
2025-05-04 16:05:59,95766.69000000,0.00052000,sell
2025-05-04 16:07:21,95766.69000000,0.01857000,sell
2025-05-04 16:07:21,95766.69000000,0.01313000,sell
2025-05-04 16:07:22,95766.69000000,0.03170000,sell
2025-05-04 16:07:26,95766.69000000,0.03186000,sell
2025-05-04 16:07:58,95766.69000000,0.01860000,sell
2025-05-04 16:07:59,95766.69000000,0.00003000,sell
2025-05-04 16:08:00,95766.69000000,0.00465000,sell
2025-05-04 16:08:04,95766.69000000,0.00096000,sell
2025-05-04 16:08:09,95766.69000000,0.00019000,sell
2025-05-04 16:08:13,95766.69000000,0.00004000,sell
2025-05-04 16:08:29,95766.69000000,0.00029000,sell
2025-05-04 16:08:30,95766.69000000,0.00007000,sell
2025-05-04 16:09:41,95766.69000000,0.32401000,sell
2025-05-04 16:09:41,95695.00000000,0.00430000,sell
2025-05-04 16:09:41,95676.26000000,0.00081000,sell
2025-05-04 16:09:41,95676.26000000,0.00567000,sell
2025-05-04 16:09:41,95676.26000000,0.00252000,sell
2025-05-04 16:09:42,95676.26000000,0.00112000,sell
2025-05-04 16:19:15,95613.93000000,0.00004000,sell
2025-05-04 16:23:50,95699.84000000,0.00002000,buy
2025-05-04 16:23:51,95699.84000000,0.00004000,buy
